TimeStamp,SourceIp,DestinationIP,SourcePort,DestinationPort,Protocol,No_of_forward_packets,No_of_backward_packets,total_forward_packets_length,total_backward_packets_length,Max_forward_packet_length,Min_forward_packet_length,Max_backward_packet_length,Min_backward_packet_length,Mean_forward_packet_length,Mean_backward_packet_lenght,Flow_duration,Inter_arrival_time,Mean_inter_arrival_time,Rev_Flag,CWE_Flag,ECE_Flag,URG_Flag,ACK_Flag,PSH_Flag,RST_Flag,SYN_Flag,FIN_Flag,FTPFlag,SSHFlag,Label
24/03/2024 23:12:42.308900, 2402, 64,49664,443,17,1,1,0,0,0,0,0,0,0.0,0.0,0.2002,0.2002,0.1001,0,0,0,0,0,0,0,0,0,False,False,Benign
24/03/2024 23:12:42.570800, 2402, 64,49664,443,17,1,1,0,0,0,0,0,0,0.0,0.0,0.2026,0.2026,0.1013,0,0,0,0,0,0,0,0,0,False,False,Benign
24/03/2024 23:12:42.844200, 2402, 64,49664,443,17,1,1,0,0,0,0,0,0,0.0,0.0,0.2055,0.2055,0.10275,0,0,0,0,0,0,0,0,0,False,False,Benign
24/03/2024 23:12:43.301500, 2402, 64,49664,443,17,1,1,0,0,0,0,0,0,0.0,0.0,0.4013,0.4013,0.20065,0,0,0,0,0,0,0,0,0,False,False,Benign
24/03/2024 23:12:37.067000, 192.168.113.43, 192.168.113.49,35774,21,6,2,1,121,40,69,52,40,0,60.5,40.0,0.0,0.0004,0.00013333333333333334,0,0,0,0,2,1,1,0,1,False,False,Benign
24/03/2024 23:12:45.135500, 192.168.113.49, 192.168.113.43,21,56266,6,9,15,588,976,79,52,86,0,65.06666666666666,65.33333333333333,8.206,8.206,0.34191666666666665,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:45.137800, 192.168.113.43, 192.168.113.49,56266,21,6,2,1,121,40,69,52,40,0,60.5,40.0,0.0,0.0002,6.666666666666667e-05,0,0,0,0,2,1,1,0,1,False,False,Benign
24/03/2024 23:12:45.174300, 192.168.113.49, 192.168.113.43,21,56270,6,9,15,572,976,69,52,86,0,65.06666666666666,63.55555555555556,8.2017,8.2023,0.34176249999999997,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:44.169500, 2402, 64,49664,443,17,1,1,0,0,0,0,0,0,0.0,0.0,0.8014,0.8014,0.4007,0,0,0,0,0,0,0,0,0,False,False,Benign
24/03/2024 23:12:45.176700, 192.168.113.43, 192.168.113.49,56270,21,6,2,1,121,40,69,52,40,0,60.5,40.0,0.0,0.0002,6.666666666666667e-05,0,0,0,0,2,1,1,0,1,False,False,Benign
